MRCA,Non-duplication Per,Duplication Per,Non-duplication,Duplication,Total,group
N8,83.06010929,16.93989071,152,31,183,Null_summary
N2,91.92546584,8.074534161,296,26,322,Null_summary
N3,99.65277778,0.347222222,287,1,288,Null_summary
N4,93.28621908,6.713780919,264,19,283,Null_summary
N5,91.4893617,8.510638298,215,20,235,Null_summary
N6,79.14438503,20.85561497,148,39,187,Null_summary
N7,87.07865169,12.92134831,155,23,178,Null_summary
N8,79.47368421,20.52631579,151,39,190,Null_summary
N2,91.29032258,8.709677419,283,27,310,Null_summary
N3,98.59649123,1.403508772,281,4,285,Null_summary
N4,92.36641221,7.633587786,242,20,262,Null_summary
N5,93.42105263,6.578947368,213,15,228,Null_summary
N6,87.91208791,12.08791209,160,22,182,Null_summary
N7,85.79545455,14.20454545,151,25,176,Null_summary
N8,77.89473684,22.10526316,148,42,190,Null_summary
N2,91.66666667,8.333333333,275,25,300,Null_summary
N3,98.87640449,1.123595506,264,3,267,Null_summary
N4,94.16666667,5.833333333,226,14,240,Null_summary
N5,95.4954955,4.504504505,212,10,222,Null_summary
N6,83.24873096,16.75126904,164,33,197,Null_summary
N7,88.37209302,11.62790698,152,20,172,Null_summary
N8,78.68852459,21.31147541,144,39,183,Null_summary
N2,89.54248366,10.45751634,274,32,306,Null_summary
N3,99.64157706,0.358422939,278,1,279,Null_summary
N4,91.50579151,8.494208494,237,22,259,Null_summary
N5,90.78947368,9.210526316,207,21,228,Null_summary
N6,83.60655738,16.39344262,153,30,183,Null_summary
N7,83.69565217,16.30434783,154,30,184,Null_summary
N8,80.31914894,19.68085106,151,37,188,Null_summary
N2,89.90536278,10.09463722,285,32,317,Null_summary
N3,100,0,282,0,282,Null_summary
N4,90.97744361,9.022556391,242,24,266,Null_summary
N5,91.34199134,8.658008658,211,20,231,Null_summary
N6,79.3814433,20.6185567,154,40,194,Null_summary
N7,84.21052632,15.78947368,144,27,171,Null_summary
N8,83.70786517,16.29213483,149,29,178,Null_summary
N2,85.5799373,14.4200627,273,46,319,Null_summary
N3,99.66216216,0.337837838,295,1,296,Null_summary
N4,94.60431655,5.395683453,263,15,278,Null_summary
N5,90.43478261,9.565217391,208,22,230,Null_summary
N6,83.69565217,16.30434783,154,30,184,Null_summary
N7,85.31073446,14.68926554,151,26,177,Null_summary
N8,86.33879781,13.66120219,158,25,183,Null_summary
N2,87.80487805,12.19512195,288,40,328,Null_summary
N3,99.32659933,0.673400673,295,2,297,Null_summary
N4,90.87719298,9.122807018,259,26,285,Null_summary
N5,90.29535865,9.70464135,214,23,237,Null_summary
N6,80.97560976,19.02439024,166,39,205,Null_summary
N7,84.45595855,15.54404145,163,30,193,Null_summary
N8,80.10752688,19.89247312,149,37,186,Null_summary
N2,92.30769231,7.692307692,288,24,312,Null_summary
N3,99.29328622,0.706713781,281,2,283,Null_summary
N4,93.12977099,6.870229008,244,18,262,Null_summary
N5,90.55793991,9.442060086,211,22,233,Null_summary
N6,84.94623656,15.05376344,158,28,186,Null_summary
N7,81.71428571,18.28571429,143,32,175,Null_summary
N8,86.11111111,13.88888889,155,25,180,Null_summary
N2,93.15960912,6.840390879,286,21,307,Null_summary
N3,98.57142857,1.428571429,276,4,280,Null_summary
N4,92.5795053,7.4204947,262,21,283,Null_summary
N5,93.80165289,6.198347107,227,15,242,Null_summary
N6,84.53608247,15.46391753,164,30,194,Null_summary
N7,84.49197861,15.50802139,158,29,187,Null_summary
N8,79.67914439,20.32085561,149,38,187,Null_summary
N2,90.25974026,9.74025974,278,30,308,Null_summary
N3,99.27797834,0.722021661,275,2,277,Null_summary
N4,93.11740891,6.882591093,230,17,247,Null_summary
N5,89.42307692,10.57692308,186,22,208,Null_summary
N6,82.10526316,17.89473684,156,34,190,Null_summary
N7,88.88888889,11.11111111,160,20,180,Null_summary
N8,82.88770053,17.11229947,155,32,187,Null_summary
N2,90.12345679,9.87654321,292,32,324,Null_summary
N3,99.32432432,0.675675676,294,2,296,Null_summary
N4,92.72727273,7.272727273,255,20,275,Null_summary
N5,92.34042553,7.659574468,217,18,235,Null_summary
N6,83.24324324,16.75675676,154,31,185,Null_summary
N7,86.20689655,13.79310345,150,24,174,Null_summary
N8,81.86528497,18.13471503,158,35,193,Null_summary
N2,91.11842105,8.881578947,277,27,304,Null_summary
N3,100,0,272,0,272,Null_summary
N4,93.11594203,6.884057971,257,19,276,Null_summary
N5,91.98312236,8.016877637,218,19,237,Null_summary
N6,82.60869565,17.39130435,171,36,207,Null_summary
N7,87.02702703,12.97297297,161,24,185,Null_summary
N8,80.76923077,19.23076923,147,35,182,Null_summary
N2,89.47368421,10.52631579,272,32,304,Null_summary
N3,99.26470588,0.735294118,270,2,272,Null_summary
N4,91.72661871,8.273381295,255,23,278,Null_summary
N5,92.10526316,7.894736842,210,18,228,Null_summary
N6,82.35294118,17.64705882,154,33,187,Null_summary
N7,82.12290503,17.87709497,147,32,179,Null_summary
N8,79.7752809,20.2247191,142,36,178,Null_summary
N2,87.45762712,12.54237288,258,37,295,Null_summary
N3,99.63369963,0.366300366,272,1,273,Null_summary
N4,94.03508772,5.964912281,268,17,285,Null_summary
N5,93.44262295,6.557377049,228,16,244,Null_summary
N6,87.1657754,12.8342246,163,24,187,Null_summary
N7,82.75862069,17.24137931,144,30,174,Null_summary
N8,80.33707865,19.66292135,143,35,178,Null_summary
N2,89.0070922,10.9929078,251,31,282,Null_summary
N3,99.62686567,0.373134328,267,1,268,Null_summary
N4,95.83333333,4.166666667,253,11,264,Null_summary
N5,93.80530973,6.194690265,212,14,226,Null_summary
N6,82.72251309,17.27748691,158,33,191,Null_summary
N7,89.20454545,10.79545455,157,19,176,Null_summary
N8,82.32044199,17.67955801,149,32,181,Null_summary
N2,90.16393443,9.836065574,275,30,305,Null_summary
N3,98.93992933,1.060070671,280,3,283,Null_summary
N4,91.20879121,8.791208791,249,24,273,Null_summary
N5,90.86956522,9.130434783,209,21,230,Null_summary
N6,87.95811518,12.04188482,168,23,191,Null_summary
N7,87.09677419,12.90322581,162,24,186,Null_summary
N8,78.26086957,21.73913043,144,40,184,Null_summary
N2,90.87719298,9.122807018,259,26,285,Null_summary
N3,99.61977186,0.380228137,262,1,263,Null_summary
N4,91.37254902,8.62745098,233,22,255,Null_summary
N5,92.37668161,7.623318386,206,17,223,Null_summary
N6,88.82978723,11.17021277,167,21,188,Null_summary
N7,85.40540541,14.59459459,158,27,185,Null_summary
N8,83.33333333,16.66666667,160,32,192,Null_summary
N2,90.06622517,9.933774834,272,30,302,Null_summary
N3,99.27272727,0.727272727,273,2,275,Null_summary
N4,92.88389513,7.116104869,248,19,267,Null_summary
N5,90.41666667,9.583333333,217,23,240,Null_summary
N6,82.19895288,17.80104712,157,34,191,Null_summary
N7,88.70056497,11.29943503,157,20,177,Null_summary
N8,80.44692737,19.55307263,144,35,179,Null_summary
N2,90.70512821,9.294871795,283,29,312,Null_summary
N3,98.5915493,1.408450704,280,4,284,Null_summary
N4,95.27272727,4.727272727,262,13,275,Null_summary
N5,91.92825112,8.071748879,205,18,223,Null_summary
N6,82.88770053,17.11229947,155,32,187,Null_summary
N7,84.44444444,15.55555556,152,28,180,Null_summary
N8,81.1827957,18.8172043,151,35,186,Null_summary
N2,90.97222222,9.027777778,262,26,288,Null_summary
N3,99.27272727,0.727272727,273,2,275,Null_summary
N4,93.84615385,6.153846154,244,16,260,Null_summary
N5,90.90909091,9.090909091,200,20,220,Null_summary
N6,85.38011696,14.61988304,146,25,171,Null_summary
N7,87.5,12.5,154,22,176,Null_summary
N8,83.24324324,16.75675676,154,31,185,Null_summary
N2,90.76433121,9.23566879,285,29,314,Null_summary
N3,98.5915493,1.408450704,280,4,284,Null_summary
N4,90.97744361,9.022556391,242,24,266,Null_summary
N5,93.19148936,6.808510638,219,16,235,Null_summary
N6,83.41968912,16.58031088,161,32,193,Null_summary
N7,91.16022099,8.839779006,165,16,181,Null_summary
N8,81.52173913,18.47826087,150,34,184,Null_summary
N2,90.50847458,9.491525424,267,28,295,Null_summary
N3,99.26199262,0.73800738,269,2,271,Null_summary
N4,94.36090226,5.639097744,251,15,266,Null_summary
N5,91.52542373,8.474576271,216,20,236,Null_summary
N6,81.28342246,18.71657754,152,35,187,Null_summary
N7,87.15083799,12.84916201,156,23,179,Null_summary
N8,82.22222222,17.77777778,148,32,180,Null_summary
N2,88.81578947,11.18421053,270,34,304,Null_summary
N3,98.91696751,1.083032491,274,3,277,Null_summary
N4,92.19330855,7.80669145,248,21,269,Null_summary
N5,90.35087719,9.649122807,206,22,228,Null_summary
N6,84.87804878,15.12195122,174,31,205,Null_summary
N7,86.11111111,13.88888889,155,25,180,Null_summary
N8,77.7173913,22.2826087,143,41,184,Null_summary
N2,91.79810726,8.201892744,291,26,317,Null_summary
N3,98.5915493,1.408450704,280,4,284,Null_summary
N4,92.10526316,7.894736842,245,21,266,Null_summary
N5,93.07359307,6.926406926,215,16,231,Null_summary
N6,84.40860215,15.59139785,157,29,186,Null_summary
N7,85.79234973,14.20765027,157,26,183,Null_summary
N8,76.34408602,23.65591398,142,44,186,Null_summary
N2,87.75510204,12.24489796,258,36,294,Null_summary
N3,99.2481203,0.751879699,264,2,266,Null_summary
N4,92.99610895,7.003891051,239,18,257,Null_summary
N5,89.9122807,10.0877193,205,23,228,Null_summary
N6,85.79234973,14.20765027,157,26,183,Null_summary
N7,90.75144509,9.248554913,157,16,173,Null_summary
N8,80.7486631,19.2513369,151,36,187,Null_summary
N2,90.13157895,9.868421053,274,30,304,Null_summary
N3,98.95833333,1.041666667,285,3,288,Null_summary
N4,93.28358209,6.71641791,250,18,268,Null_summary
N5,89.09090909,10.90909091,196,24,220,Null_summary
N6,89.67391304,10.32608696,165,19,184,Null_summary
N7,82.32044199,17.67955801,149,32,181,Null_summary
N8,82.35294118,17.64705882,154,33,187,Null_summary
N2,91.17647059,8.823529412,279,27,306,Null_summary
N3,98.95104895,1.048951049,283,3,286,Null_summary
N4,93.50180505,6.498194946,259,18,277,Null_summary
N5,90.90909091,9.090909091,210,21,231,Null_summary
N6,84.61538462,15.38461538,176,32,208,Null_summary
N7,88.46153846,11.53846154,161,21,182,Null_summary
N8,79.55801105,20.44198895,144,37,181,Null_summary
N2,88.75,11.25,284,36,320,Null_summary
N3,98.63013699,1.369863014,288,4,292,Null_summary
N4,93.91634981,6.08365019,247,16,263,Null_summary
N5,91.81034483,8.189655172,213,19,232,Null_summary
N6,81.57894737,18.42105263,155,35,190,Null_summary
N7,85.56149733,14.43850267,160,27,187,Null_summary
N8,79.67914439,20.32085561,149,38,187,Null_summary
N2,91.17647059,8.823529412,279,27,306,Null_summary
N3,99.63768116,0.362318841,275,1,276,Null_summary
N4,94.94163424,5.058365759,244,13,257,Null_summary
N5,92.37668161,7.623318386,206,17,223,Null_summary
N6,79.79274611,20.20725389,154,39,193,Null_summary
N7,81.31868132,18.68131868,148,34,182,Null_summary
N8,86.02150538,13.97849462,160,26,186,Null_summary
N2,90.5362776,9.463722397,287,30,317,Null_summary
N3,99.30313589,0.696864111,285,2,287,Null_summary
N4,92.17081851,7.829181495,259,22,281,Null_summary
N5,89.58333333,10.41666667,215,25,240,Null_summary
N6,83.67346939,16.32653061,164,32,196,Null_summary
N7,87.84530387,12.15469613,159,22,181,Null_summary
N8,76.96335079,23.03664921,147,44,191,Null_summary
N2,87.5,12.5,259,37,296,Null_summary
N3,98.90909091,1.090909091,272,3,275,Null_summary
N4,93.23308271,6.766917293,248,18,266,Null_summary
N5,91.55555556,8.444444444,206,19,225,Null_summary
N6,89.11917098,10.88082902,172,21,193,Null_summary
N7,87.42857143,12.57142857,153,22,175,Null_summary
N8,82.79569892,17.20430108,154,32,186,Null_summary
N2,88.63636364,11.36363636,273,35,308,Null_summary
